x_coord,y_coord,month,year,groundfrost_1,hurs_1,psl_1,sun_1,pv_1,sfcWind_1,tas_1,rainfall_1,snowLying_1
8,4,1,1,9.84928987,89.36982749,1022.665365,64.51156417,9.12500556,6.45810733,6.727447717,112.2352382,0.697199793
9,4,1,1,10.85267889,89.44621093,1022.708003,57.48681167,8.814732072,5.881910517,6.230648281,116.3547495,1.629525681
10,4,1,1,12.97189949,89.34354469,1022.436839,68.29351494,8.70098793,4.628301269,6.290806564,57.53778808,1.172937726
11,4,1,1,15.60964588,85.77112367,1022.207362,71.38610423,8.37628352,4.964666086,6.372183845,48.68886577,0.544845338
12,4,1,1,12.6366999,83.58514832,1021.975976,75.29671765,8.33771197,5.82861684,6.780636448,51.27869176,0.274702058
13,4,1,1,12.24005281,84.64662681,1021.804366,77.74824152,8.234811443,4.634318866,6.24476348,52.98132044,0.47545506
14,4,1,1,12.42599697,83.32141793,1021.64124,81.64799355,8.222481887,4.091697396,6.488646311,52.12512043,0.300493953
9,5,1,1,11.26712429,90.36863976,1022.169269,55.13035828,8.758151861,6.905177727,5.990127396,144.3439888,1.748204504
10,5,1,1,12.77912004,88.26295393,1021.912503,65.80211606,8.535283721,4.862060042,6.385916011,69.35022974,0.465033082
11,5,1,1,14.05943169,86.31464658,1021.767814,66.42520604,8.149648698,4.869349215,5.80579282,57.04647221,0.97262885
12,5,1,1,15.7784439,84.38239355,1021.610816,70.04337665,7.898100715,4.827086132,5.735399031,49.59435117,0.397517833
13,5,1,1,15.29545649,83.67325197,1021.39631,73.57373473,7.949104186,3.864887832,6.041610992,45.63223684,0.389564421
14,5,1,1,13.85459579,84.14487666,1021.148323,73.93266922,7.99199777,4.365348649,6.007013052,44.94348751,0.47228482
8,6,1,1,10.23734647,87.02380926,1021.209856,50.6235078,8.682794864,6.80048911,6.600168897,106.204262,0.19907759
9,6,1,1,12.77666353,88.33547381,1021.499417,49.22492678,8.218143343,5.311014938,5.728541354,140.0263039,0.957009703
10,6,1,1,15.5230418,88.04418606,1021.290255,56.15458938,8.101276907,4.97107312,5.536894066,95.06195092,0.969105572
11,6,1,1,14.62936717,86.1025871,1021.063362,72.0044365,7.959102341,4.723294908,5.706218456,52.06485017,0.593273576
12,6,1,1,17.61738363,84.63001809,1020.816413,79.06336747,7.780992694,4.369548026,5.499476075,40.92842795,0.314180718
13,6,1,1,14.92393335,83.83996275,1020.677895,74.27251257,7.751430224,3.76008655,5.727981158,40.87720904,0.348335365
14,6,1,1,13.98906072,84.96396176,1020.38132,76.01361981,7.86478258,4.474429036,5.778214193,46.52257805,0.218955121
15,6,1,1,13.38647276,84.76775731,1020.187041,76.76885205,8.028826129,4.3835831,5.474560613,50.65627905,0.191586885
9,7,1,1,14.21855717,88.71909086,1020.689724,48.22316638,7.940407418,5.815693314,4.891709358,170.9925305,1.721347941
10,7,1,1,16.63850753,86.47878216,1020.513403,57.36270301,7.655135648,4.918283089,4.860314303,78.99573326,1.093535895
11,7,1,1,17.02341517,84.78632464,1020.423251,80.70684116,7.688920094,4.206179834,5.446182502,41.41473479,0.120138563
12,7,1,1,16.06158785,85.71376827,1020.044272,86.69163709,7.688993176,4.068187461,5.149023175,42.16532505,0.254816263
13,7,1,1,13.20391057,85.41442786,1019.873288,77.0883675,7.781898336,4.327233933,5.517568781,40.16561716,0.093576485
14,7,1,1,13.9021106,85.20124787,1019.725214,73.0298017,7.700814928,4.605568631,5.4546126,43.33859454,0.440469536
15,7,1,1,15.17882369,85.08237204,1019.53682,69.81002531,7.772592069,4.532740165,5.426188512,42.46155232,0.357540811
9,8,1,1,12.73072762,85.91029369,1019.754004,40.68400207,7.583483842,7.491238119,4.946723611,195.4536424,1.585783495
10,8,1,1,17.40335591,85.53212652,1019.556014,61.43094283,7.579684796,5.578966301,5.165723331,76.64511333,0.488379064
11,8,1,1,17.30336978,86.17625085,1019.511695,72.53074396,7.576323519,4.263400923,4.963906744,65.30794086,0.02185061
12,8,1,1,14.11224248,85.30086439,1019.306811,78.79822987,7.557363534,4.366330802,5.182778865,49.15971661,0.050357664
13,8,1,1,14.56306112,85.55632046,1019.064493,76.4250376,7.559160873,5.256820238,5.262300712,36.83704977,0.098015927
14,8,1,1,14.33582982,85.73310875,1019.03038,66.43765588,7.571165415,5.444513013,5.272647558,38.36585863,0.282314543
15,8,1,1,15.04683747,84.39653868,1018.849521,61.04717254,7.597746698,5.102627323,5.426395168,36.3402037,0.131637255
10,9,1,1,14.21336415,83.38769628,1018.800822,65.64749977,7.757176407,5.962512363,5.65044297,65.80964483,0.035541378
11,9,1,1,16.86162744,85.98406504,1018.589443,59.45404457,7.497541813,5.505081002,4.624984214,122.2785347,0.678803815
12,9,1,1,15.80751797,85.0012287,1018.351023,70.75260837,7.41967935,5.211115043,4.974516543,60.00800445,0.099601088
13,9,1,1,15.23032218,85.54504869,1018.085958,77.64105203,7.440823106,5.09977694,5.154653398,38.51237119,0.089298367
6,10,1,1,9.301140175,86.64038422,1016.912872,42.28579005,8.018202845,6.298262414,5.889805947,101.1204569,0.311384848
10,10,1,1,15.40852965,85.75091657,1017.820084,62.96708891,7.552427469,5.235530148,5.078392734,106.6490137,0.359410102
11,10,1,1,15.84166826,85.65064971,1017.641595,49.80628819,7.080765372,5.738976385,3.815092767,160.577202,3.458012619
12,10,1,1,16.2774219,84.02598171,1017.473481,66.63400498,7.216080217,5.108646133,4.710572185,50.31774281,0.2804548
13,10,1,1,15.28113471,84.29583924,1017.068563,80.39732624,7.355619435,4.960929503,4.752994791,34.86709109,0.333024962
5,11,1,1,14.93802838,87.37184554,1016.786967,49.88974742,8.278250667,5.8429621,5.731063463,126.8474466,0.564039868
6,11,1,1,11.93148098,87.52771035,1016.603126,44.70228513,8.10537341,5.474032497,5.740748198,96.14324991,0.480926126
7,11,1,1,12.69052802,86.52156012,1016.795381,42.41819816,7.893101686,6.091913551,5.81569984,86.82425907,0.326167154
10,11,1,1,15.72837528,84.83575504,1017.078848,53.69712082,7.099903906,6.462448062,3.921783094,176.2611467,2.035950509
11,11,1,1,18.42437748,84.66562311,1016.824921,57.76244037,6.700643822,7.024298159,2.970307685,118.6234305,4.389868568
12,11,1,1,17.83118781,82.73008712,1016.583289,68.4840948,6.796285065,5.483390571,4.141107442,39.55990913,0.680173343
5,12,1,1,12.31855671,86.27128034,1016.085376,46.20998874,7.938046201,5.73318862,5.450758757,142.2037234,0.757753872
6,12,1,1,11.79066215,87.80533688,1015.956639,37.94918977,8.018822055,5.745152988,5.210717487,130.9939762,1.192187755
7,12,1,1,13.06761676,87.71667985,1015.980289,39.40759967,7.887887246,5.378754489,5.024430508,121.2264375,1.717837246
8,12,1,1,14.49700664,87.61243369,1015.897065,37.24600137,7.995371399,7.08394545,4.77089691,177.4591638,1.02482158
9,12,1,1,16.51924067,87.17660048,1015.787223,39.32906543,7.405562334,6.007613282,4.006794671,179.1637556,1.509124031
10,12,1,1,17.0892313,86.93772412,1016.0873,52.50511292,7.26852536,5.193212149,3.904856115,95.128521,0.925270311
11,12,1,1,18.56502181,86.48799235,1015.717699,66.31753319,6.839991662,6.036446694,3.266946532,66.09930759,1.339136121
8,13,1,1,14.00177831,84.67159638,1014.93978,40.32889101,7.644701148,7.730293968,4.806262258,180.3313176,1.59440225
9,13,1,1,17.12009246,85.04982416,1015.068152,40.65554283,6.918922193,6.092118333,3.221199038,158.1203193,3.506049809
10,13,1,1,17.83461913,85.88101522,1015.095252,56.67485311,6.593905992,6.31140073,2.714496331,94.47781025,3.182194041
11,13,1,1,16.90538387,85.25340419,1014.942717,78.382511,6.775537396,5.487651772,3.499965245,35.66154287,1.109362812
8,14,1,1,15.8557099,83.87414328,1014.24907,36.06167375,7.172874031,7.206119433,3.902937556,326.1672785,3.32294844
9,14,1,1,17.63271842,83.70269406,1014.103878,44.67280168,6.761525409,5.814332813,3.451930848,156.9460972,1.988365993
10,14,1,1,19.60074408,83.29826381,1013.752606,67.01232413,6.758654888,6.10436822,3.793233779,47.81714476,0.700701277
7,15,1,1,11.36975727,84.5073463,1013.327018,29.02698658,7.436548308,7.491499363,4.475937404,293.0520763,2.299638603
8,15,1,1,15.60545837,83.81173964,1014.079372,23.82871226,6.609856036,5.943208707,2.984867762,352.6774034,5.514478233
9,15,1,1,20.94603192,82.98563681,1013.614504,28.12749425,6.075668249,7.000807186,1.647519004,187.8294021,7.268399913
10,15,1,1,24.69351993,82.10056071,1012.797068,59.77103934,6.120513903,6.060883501,2.333299015,69.53514231,4.677033943
8,16,1,1,17.3438978,84.13552233,1012.829034,25.14720995,6.486977717,6.325806406,2.62031702,342.401535,5.454142578
9,16,1,1,21.71169733,82.76444742,1012.429816,37.55348964,5.859986542,6.700744547,1.260680729,172.0072123,10.7618729
10,16,1,1,24.40565469,81.62334609,1011.796043,58.04425526,5.686014512,7.370466214,1.259635327,95.36833628,7.253525636
11,16,1,1,22.09624135,80.00159335,1011.537758,82.48096153,6.2349189,5.551558356,2.951393236,52.86851475,0.677072167
8,17,1,1,18.86231197,84.05069979,1011.427238,25.160773,6.393385594,7.412193733,2.53735843,323.1730861,5.285197686
9,17,1,1,22.09025578,82.04150336,1011.184888,50.33930912,6.244428612,6.308713812,2.654249936,159.8825346,2.614295172
10,17,1,1,22.8401595,81.22791069,1011.174996,76.39571533,6.156471954,5.320538162,2.904698126,72.93117122,2.458966292
8,18,1,1,20.06607197,83.81353588,1010.021464,26.12957238,6.566488318,7.618219096,3.118817862,308.6539996,4.241428656
9,18,1,1,19.81992061,83.82679202,1009.986017,41.69228943,6.334327328,6.67387272,2.33840405,209.7191174,2.939665383
12,22,1,1,13.37815978,81.30453117,1006.284636,19.42878006,6.898895032,8.666905254,4.279174469,163.0073573,0.939046312
8,4,2,1,11.59156303,87.17137766,1030.782071,81.60151944,8.106463544,4.614516629,4.989791937,48.33776874,0.52958354
9,4,2,1,14.26241731,87.15124439,1030.9105,66.51297859,7.814596347,4.24698584,4.388343891,39.2650139,1.431348725
10,4,2,1,15.23470575,87.18630077,1030.740929,72.48008947,7.700953716,3.61169452,4.397928138,22.77081432,1.075844277
11,4,2,1,16.53329331,83.37939297,1030.50667,71.81697324,7.332572912,3.711990375,4.252044672,20.27913494,0.764881991
12,4,2,1,14.42650791,81.30651861,1030.199682,81.65364372,7.04445602,4.070858698,4.399909523,20.22914294,0.941876543
13,4,2,1,15.51957798,82.7175689,1029.985717,89.27942518,7.031923978,3.62724791,3.792761488,22.89045891,2.143835605
14,4,2,1,17.4610382,81.11904559,1029.778906,102.2283566,6.920576208,3.199699607,3.69930013,21.7475987,5.151964352
9,5,2,1,14.01430635,88.2875688,1030.729103,69.63794944,7.841078872,4.804188734,4.301581789,54.22945904,1.451908497
10,5,2,1,14.30110645,86.1507024,1030.507128,77.15804112,7.60830458,3.692194965,4.62014088,27.12066454,0.22716754
11,5,2,1,15.83648099,83.87839968,1030.413143,74.28456415,7.151239541,3.786390917,3.809480747,22.37746991,1.57099742
12,5,2,1,16.19859136,81.66118117,1030.191965,78.5504509,6.838682505,3.709120342,3.616082193,19.11779378,2.873258732
13,5,2,1,16.74969418,80.85647302,1029.905743,89.62084309,6.841448736,3.16306659,3.851307676,19.40549303,4.968636771
14,5,2,1,16.17649595,81.01764695,1029.561,86.52098934,6.740722674,3.621212215,3.561058063,16.5328939,7.992473441
8,6,2,1,12.3960404,87.61003436,1030.245831,57.05587517,8.057473651,4.912592787,5.132637144,62.58184643,0.296442496
9,6,2,1,13.59823274,87.55140938,1030.549786,62.83661228,7.496474438,4.087374163,4.192261744,71.14507824,1.11599976
10,6,2,1,15.99047017,86.61162536,1030.365,72.33703982,7.441770946,3.814506202,3.892503363,37.01120458,1.965953397
11,6,2,1,16.04063542,84.94920184,1030.149799,77.94457654,7.279631347,3.885459373,3.921028989,21.91671156,2.563078202
12,6,2,1,17.34292403,82.64361774,1029.881743,72.36998079,6.902379521,3.469389851,3.51088726,21.58914785,4.113399948
13,6,2,1,16.48729053,80.5025789,1029.64361,82.74594835,6.683212919,3.154056598,3.64559311,20.42604917,7.399535458
14,6,2,1,16.29710862,81.41881453,1029.269602,88.56068258,6.801274686,3.857170161,3.604173239,18.94172152,9.048137031
15,6,2,1,16.299749,81.14811977,1029.125156,98.14783351,6.908945205,3.983941915,3.475026895,15.56532689,9.513448354
9,7,2,1,14.55281796,87.81731167,1029.970827,57.5010793,7.471170157,4.461707742,3.48555541,82.0474624,1.914520822
10,7,2,1,17.117312,86.39558099,1029.927906,61.22833918,7.32290836,3.847545098,3.582404566,28.98403594,1.89180804
11,7,2,1,17.6853291,84.73015432,1029.859657,73.23933766,7.304026834,3.456794332,3.992728987,22.38959142,2.015609986
12,7,2,1,17.01586515,84.91066178,1029.491106,78.03424371,7.12773056,3.36134367,3.415152019,23.21010796,4.933761854
13,7,2,1,16.13561051,83.29597805,1029.267765,79.27792763,7.003910116,3.585470267,3.535007872,19.52395891,7.317988266
14,7,2,1,15.74356343,81.99757675,1029.062616,82.71347883,6.852836127,3.872807813,3.456425993,18.62461454,9.639642267
15,7,2,1,16.85045151,81.26313731,1028.816685,93.00591296,6.853613557,4.314793847,3.635923756,15.51571633,10.93340359
9,8,2,1,13.93751547,87.98835964,1029.477873,53.15619643,7.48464546,5.590001969,3.726379078,109.2381642,2.505512045
10,8,2,1,15.82915721,86.44310656,1029.283018,56.22151571,7.374273384,4.396136526,4.160986437,29.57593612,1.303716964
11,8,2,1,16.59175437,86.60396425,1029.311457,62.95498015,7.317687858,3.484967569,3.864870016,28.04078003,1.766638506
12,8,2,1,16.77494533,84.05760178,1029.10367,75.00382697,7.134007949,3.478931996,3.870184315,20.62375147,6.32859423
13,8,2,1,15.85183035,83.02668565,1028.825974,78.35220612,6.958806212,4.35540923,3.665207193,15.95585801,7.417040154
14,8,2,1,16.05486655,82.57681738,1028.688556,68.35259541,6.947006835,4.85520235,3.625712429,17.92607406,9.301612743
15,8,2,1,17.30042714,81.46012095,1028.499579,77.98648098,7.013573649,4.965709882,3.972371465,14.78267742,9.715133433
10,9,2,1,13.05514199,84.55645296,1028.770892,61.57361852,7.585092728,4.47354119,4.812407803,34.54266377,0.579894503
11,9,2,1,15.62575288,86.00847265,1028.922197,57.85171249,7.193771027,4.067639787,3.749818617,56.76816145,5.54017456
12,9,2,1,16.10719715,83.63466618,1028.490585,75.68373596,7.069046644,4.009222591,4.030118366,19.88707957,7.271277782
13,9,2,1,15.88640742,83.07342181,1028.164954,81.05191003,7.029173991,4.4306348,3.931292543,18.15528205,7.614370777
6,10,2,1,7.039270107,90.66669631,1027.083555,33.28236033,8.872111301,5.020445394,6.448265548,44.90573256,1.597511335
10,10,2,1,16.43883304,86.75447183,1028.192779,55.77026067,7.414610801,4.734484121,4.28592117,57.08921096,0.416864516
11,10,2,1,16.45492181,85.68389367,1027.891326,53.517516,7.110892781,4.796199425,3.111027905,89.01754124,8.307129456
12,10,2,1,15.9087155,82.05740354,1027.845524,63.97676868,6.955435429,4.334870307,3.939393501,20.07014711,8.447191352
13,10,2,1,14.49926311,80.97860266,1027.436896,89.71785141,6.935312621,4.444438733,3.941226852,19.69653313,9.14955063
5,11,2,1,9.120666349,92.05914586,1027.04201,36.71498427,9.322446496,4.538401339,6.433944351,72.41403931,0.76838791
6,11,2,1,8.72641893,91.28068982,1026.892975,31.38407676,9.007532953,4.401582733,6.412345608,50.43196499,0.80899321
7,11,2,1,9.126422727,88.88461458,1027.041931,35.00545989,8.635529813,5.075170837,6.500208555,56.03201881,0.506363813
10,11,2,1,15.07627189,86.70677888,1027.671082,52.14576701,7.273883616,5.227427703,3.512858863,111.5802314,2.849086346
11,11,2,1,17.4298796,85.39394839,1027.42133,61.80978772,6.887274777,5.877897833,2.643935267,64.61503728,8.302164037
12,11,2,1,17.71111417,81.44872402,1027.058121,70.51070518,6.819414029,5.025932741,3.990860273,18.45914574,7.606597144
5,12,2,1,8.647862994,91.35774259,1026.499686,38.11434312,9.258914237,4.558306721,6.321184152,92.12068607,0.732397588
6,12,2,1,8.186789981,90.43995012,1026.402458,31.92061721,8.965223033,4.664546148,6.032960715,74.45186814,1.079700159
7,12,2,1,9.463990594,89.52501651,1026.421674,31.03861885,8.661645368,4.657877823,5.850668677,80.4257296,1.831281818
8,12,2,1,11.18237014,90.0830582,1026.594104,37.3914462,8.578868998,5.943987231,5.163221571,109.238792,1.761728982
9,12,2,1,13.16661037,89.19974897,1026.550027,37.85985104,7.841027341,5.384100746,4.188058476,102.6413403,1.852040462
